species,genus,species_epithet,scientific_name,group,country,region,dive_site,site_type,sighting_date,year,month,n,ym
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2017-03-05,2017,3,7,2017-03-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2018-01-04,2018,1,5,2018-01-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Shark Cave,site,2018-01-04,2018,1,1,2018-01-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2018-02-19,2018,2,8,2018-02-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2018-02-19,2018,2,3,2018-02-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2018-02-19,2018,2,9,2018-02-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Mergui Archipelago,NA,2012-12-31,2012,12,4,2012-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2019-04-05,2019,4,3,2019-04-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Tachai,site,2019-04-05,2019,4,2,2019-04-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Andaman (unspecified),Andaman Sea,NA,2017-04-09,2017,4,9,2017-04-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2015-03-03,2015,3,2,2015-03-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Western Rocky,site,2019-12-29,2019,12,1,2019-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,South Twin,site,2019-12-29,2019,12,3,2019-12-01
reef manta,Mobula,alfredii,Mobula alfredii,ray,Myanmar,Mergui,Mergui Archipelago,NA,2018-12-26,2018,12,3,2018-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2018-12-26,2018,12,1,2018-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Burma Banks,Burma Banks,NA,2019-11-23,2019,11,5,2019-11-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Burma Banks,Burma Banks,NA,2019-11-23,2019,11,10,2019-11-01
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Myanmar,Burma Banks,Burma Banks,NA,2019-11-23,2019,11,1,2019-11-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,South Twin,site,2020-01-07,2020,1,5,2020-01-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,South Twin,site,2020-01-07,2020,1,5,2020-01-01
silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark,Myanmar,Burma Banks,Burma Banks,NA,2020-01-07,2020,1,1,2020-01-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Burma Banks,Burma Banks,NA,2020-01-07,2020,1,8,2020-01-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Similan,Koh Tachai,site,2022-01-14,2022,1,1,2022-01-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Koh Lipe,8 Mile Rock,site,2022-01-14,2022,1,1,2022-01-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Phuket,Koh Bida Nok,site,2022-01-14,2022,1,3,2022-01-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-04-06,2022,4,1,2022-04-01
mobula ray,Mobula,spp,Mobula spp,ray,Thailand,Koh Lipe,8 Mile Rock,site,2025-03-16,2025,3,1,2025-03-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Surin,Koh Chi,site,2025-03-16,2025,3,3,2025-03-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Surin,Koh Chi,site,NA,NA,NA,3,NA
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Phuket,Koh Bida Nok,site,NA,NA,NA,7,NA
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Thailand,Phuket,Shark Point,site,NA,NA,NA,1,NA
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Burma Banks,Burma Banks,NA,2016-11-13,2016,11,4,2016-11-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Tachai,site,NA,NA,NA,1,NA
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Tower Rock,site,NA,NA,NA,1,NA
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Tower Rock,site,NA,NA,NA,1,NA
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Myanmar,Mergui,Tower Rock,site,NA,NA,NA,3,NA
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Myanmar,Mergui,Tower Rock,site,NA,NA,NA,3,NA
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Burma Banks,Burma Banks,NA,NA,NA,NA,3,NA
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Surin,Richelieu Rock,site,NA,NA,NA,1,NA
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Koh Lipe,8 Mile Rock,site,NA,NA,NA,3,NA
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Koh Lipe,8 Mile Rock,site,NA,NA,NA,3,NA
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Black Rock,site,NA,NA,NA,3,NA
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Burma Banks,Burma Banks,NA,NA,NA,NA,10,NA
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Dendro's Pinnacle,site,NA,NA,NA,1,NA
silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark,Myanmar,Burma Banks,Burma Banks,NA,NA,NA,NA,3,NA
grey-spotted guitarfish,acroteriovatus,spp,acroteriovatus spp,ray,Myanmar,Mergui,Black Rock,site,NA,NA,NA,30,NA
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,NA,NA,NA,1,NA
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,NA,NA,NA,2,NA
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Myanmar,Mergui,Mergui Archipelago,NA,NA,NA,NA,3,NA
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Surin,Surin Islands,NA,NA,NA,NA,3,NA
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Surin,Surin Islands,NA,NA,NA,NA,2,NA
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Surin Islands,NA,NA,NA,NA,NA,NA
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Surin,Surin Islands,NA,NA,NA,NA,1,NA
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Surin Islands,NA,NA,NA,NA,1,NA
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,North Twin,site,NA,NA,NA,1,NA
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,North Twin,site,NA,NA,NA,1,NA
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,North Twin,site,NA,NA,NA,2,NA
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Myanmar,Mergui,North Twin,site,NA,NA,NA,1,NA
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Andaman (unspecified),Andaman Sea,NA,NA,NA,NA,3,NA
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Richelieu Rock,site,NA,NA,NA,1,NA
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Andaman (unspecified),Andaman Sea,NA,NA,NA,NA,1,NA
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,NA,NA,NA,3,NA
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,NA,NA,NA,5,NA
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Myanmar,Mergui,Mergui Archipelago,NA,NA,NA,NA,6,NA
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,NA,NA,NA,1,NA
