species,sighting_date,dive_site,url,title,excerpt,validation,notes,n_observed,dive_site_std,site_type,country,region,species_std,genus,species_epithet,scientific_name,group
grey reef sharks,2013-05-29,Square rock,https://www.thesmilingseahorse.com/blog/burma-exploration-trip,Burma home to a multitude of sea creatures - Diving liveaboard in Thailand and Myanmar,"rrent you would ever experience in your diving life! Theses 2 places have a lot to offer, grey reef sharks, turtles, nudibranches , seahorses, long fin comet fish, juvenile shaded batfish, pineapple fish, s",valid,NA,3,Square Rock,site,Myanmar,Mergui,grey reef shark,Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,shark
Nurse Shark,2012-11-24,Shark Cave,https://www.thesmilingseahorse.com/blog/burma-wonders,burma diving wonderland - Diving liveaboard in Thailand and Myanmar,"November 2012 24/11/2012 0 Comments High Rock in the sunset The ugly face frogfish Snake fish Nurse sharks in Sharks Cave The Spanish dancer Lion fish in soft coral 24th of November, we are back at sea for",valid,NA,3,Shark Cave,site,Myanmar,Mergui,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
nurse shark,2012-11-24,Shark Cave,https://www.thesmilingseahorse.com/blog/burma-wonders,burma diving wonderland - Diving liveaboard in Thailand and Myanmar,"out what is the cave system like… How exciting?! We explore bits bu bits and we bump into a massive nurse shark sleeping on the bottom of the cave, Awesome! We take some pictures and it’s time to get out … The l",valid,NA,1,Shark Cave,site,Myanmar,Mergui,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
nurse shark,2019-01-20,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/burmese-reefs-alive,Burmese reefs so alive... - Diving liveaboard in Thailand and Myanmar,crazy eyes! ​The ones who are never never happy to see us! And some other very nice encounters... ​Nurse shark again in our secret spot! ​Spanish dancers ... ​Seahorses and ghost pipefishes ... ​A turtle ... A,valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
blacktip reef shark,2023-01-23,Koh Bida Nok,https://www.thesmilingseahorse.com/blog/chinese-new-year-trip-onboard-north-to-south-andaman-from-20th-to-25th-of-january-2023,Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,"ute creatures during the blackwater dive. Last day in Phi Phi island and shark point with black tip reef shark, lots of beauty nudis and flat worms. Congratulations to Coralie, Anthony, and Phoebe for their Enr",valid,NA,1,Koh Bida Nok,site,Thailand,Phuket,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
shark,2021-12-25,Similan Islands,https://www.thesmilingseahorse.com/blog/christmas-gifts-on-this-north-and-south-andaman-cruise-18-25-dec-2021,Christmas gifts on this North and South Andaman cruise! 18-25 Dec 2021 - Diving liveaboard in Thailand and Myanmar,"d you get for Christmas? ​We have probably been very good this year, cause Santa brought us a whale shark!!! This trip was just awesome! We left Phuket on the 18th of December with 15 fantastic guests and",valid,NA,2,Similan Islands,region,Thailand,Similan,shark,Selachii,spp,Selachii spp,shark
Kuhl's stingray,2022-12-12,Surin Islands,https://www.thesmilingseahorse.com/blog/christmas-trip-in-the-north-andaman-19th-to-25th-of-december-2022,"Christmas trip in North Andaman, Thailand from 19th to 25th of December 2022 - Diving liveaboard in Thailand and Myanmar","Rocks, In surin islands, were amazing this week, with Pikachu in their trees (hydroids) and kuhl's stingray flying over a bunch of garden eels. Richelieu was incredible , we saw a seahorse, few ghost pipefis",valid,NA,3,Surin Islands,region,Thailand,Surin,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
reef shark,2022-12-12,Surin Islands,https://www.thesmilingseahorse.com/blog/christmas-trip-in-the-north-andaman-19th-to-25th-of-december-2022,"Christmas trip in North Andaman, Thailand from 19th to 25th of December 2022 - Diving liveaboard in Thailand and Myanmar","anck). Great dives were had with lots of schooling fishes, cute nudibranch , octopus, and black tip reef shark. Torinla Rocks, In surin islands, were amazing this week, with Pikachu in their trees (hydroids) an",valid,NA,1,Surin Islands,region,Thailand,Surin,shark,Carcharhinidae,spp,Carcharhinidae spp,shark
Jenkins Whipray,2021-11-02,Surin Islands,https://www.thesmilingseahorse.com/blog/clear-blue-sky-and-dolphins-dream-for-our-second-trip-of-the-season-on-the-andaman-sea,Clear blue sky and dolphins dream for our second trip of the season on the Andaman Sea! - Diving liveaboard in Thailand and Myanmar,"for one group being a Hawksbill turtle, a bunch of Thecacera Sp AKA Pikachu, some huge Jenkin wipe ray and a very nice school of sweetlips…! Another group got lucky spotting napoleon fish, hump head par",valid,NA,3,Surin Islands,region,Thailand,Surin,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
SGuitarfish,2021-11-02,Surin Islands,https://www.thesmilingseahorse.com/blog/clear-blue-sky-and-dolphins-dream-for-our-second-trip-of-the-season-on-the-andaman-sea,Clear blue sky and dolphins dream for our second trip of the season on the Andaman Sea! - Diving liveaboard in Thailand and Myanmar,"e school of sweetlips…! Another group got lucky spotting napoleon fish, hump head parrot fish and a guitarfish at night. Thecacera Nudibranch Beautiful green turtle and coral reef Sweetlips in formation for the",valid,NA,1,Surin Islands,region,Thailand,Surin,guitarfish�,Rhinobatidae,spp,Rhinobatidae spp,ray
