species,sighting_date,dive_site,url,title,excerpt,validation,notes,n_observed,dive_site_std,site_type,country,region,species_std,genus,species_epithet,scientific_name,group
nurse shark,2025-01-27,Rainbow Bank,https://www.thesmilingseahorse.com/blog/trip-report-exploring-burma-banks-with-mv-smiling-seahorse-23rd-29th-january-2025,"Manta Rays & Shark Encounters: Diving Burma Banks with MV Smiling Seahorse (Trip Report: Jan 23-29, 2025) - Diving liveaboard in Thailand and Myanmar","o morning dives at Rainbow Bank continued our streak of stunning marine life encounters, with nurse sharks, bigeye trevally tornadoes, and more octopuses. The coral formations here were breathtaking, offeri",valid,NA,10,Rainbow Bank,site,Myanmar,Burma Banks,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
requiem shark,2025-01-27,Silvertip Bank,https://www.thesmilingseahorse.com/blog/trip-report-exploring-burma-banks-with-mv-smiling-seahorse-23rd-29th-january-2025,"Manta Rays & Shark Encounters: Diving Burma Banks with MV Smiling Seahorse (Trip Report: Jan 23-29, 2025) - Diving liveaboard in Thailand and Myanmar","graceful hawksbill turtle, more marble rays, and an unforgettable sighting of three massive requiem sharks. A few lucky divers even spotted a male oceanic manta ray passing by to say hello, a rare find in t",valid,3 massive requiem sharks?,3,Silvertip Bank,site,Myanmar,Burma Banks,requiem shark�,Carcharhinidae,spp,Carcharhinidae spp,shark
silvertip shark,2025-01-27,Silvertip Bank,https://www.thesmilingseahorse.com/blog/trip-report-exploring-burma-banks-with-mv-smiling-seahorse-23rd-29th-january-2025,"Manta Rays & Shark Encounters: Diving Burma Banks with MV Smiling Seahorse (Trip Report: Jan 23-29, 2025) - Diving liveaboard in Thailand and Myanmar","y at Silvertip Bank was a highlight. We encountered a Napoleon wrasse, a majestic marble ray, and a silvertip shark patrolling its territory. The grand finale? A tornado of bigeye trevally swirling above us in",valid,NA,1,Silvertip Bank,site,Myanmar,Burma Banks,silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark
blue-spotted maskray,2023-04-26,Surin National Park,https://www.thesmilingseahorse.com/blog/trip-report-from-north-south-andaman-25-april-2-may-2023,Trip report from North - South Andaman 25 April - 2 May 2023 - Diving liveaboard in Thailand and Myanmar,"th open arms. Delving into the turquoise waters, we were greeted by the mesmerizing sight of Kulh's stingrays gliding gracefully across the sandy seabed. The garden eels and vibrant fish added to the vibrant t",valid,NA,5,Surin Islands,region,Thailand,Surin,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
blacktip reef shark,2023-05-01,Shark Point,https://www.thesmilingseahorse.com/blog/trip-report-from-north-south-andaman-25-april-2-may-2023,Trip report from North - South Andaman 25 April - 2 May 2023 - Diving liveaboard in Thailand and Myanmar,"es into a thriving marine ecosystem. ​ Our journey culminated in the enchanting Phi Phi Islands and Shark Point. Here, we encountered the graceful blacktip reef sharks, alongside a multitude of beautiful n",valid,NA,5,Shark Point,site,Thailand,Phuket,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
Oceanic manta ray,2023-03-23,Similan National Park,https://www.thesmilingseahorse.com/blog/trip-report-manta-ray-expedition-from-19th-to-27th-of-march,Trip report Manta Ray expedition from 19th to 27th of March - Diving liveaboard in Thailand and Myanmar,"e many photos this week but we have a video and its worth a thousand words! Meet Joony! A new Black Manta for Thailand Manta Database! After Surin National Park , we moved south towards Similan National Pa",valid,Melanistic,1,Similan Islands,region,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
mobulas ray,2023-03-24,Similan National Park,https://www.thesmilingseahorse.com/blog/trip-report-manta-ray-expedition-from-19th-to-27th-of-march,Trip report Manta Ray expedition from 19th to 27th of March - Diving liveaboard in Thailand and Myanmar,"us mobulas ray on our blue water dive near the end of the continental shelf… Of course this being a Manta Expedition, everyone was delighted by these two graceful rays but they were not the only cool thing",valid,NA,1,Similan Islands,region,Thailand,Similan,mobula ray,Mobula,spp,Mobula spp,ray
leopard shark,2023-03-24,Similan National Park,https://www.thesmilingseahorse.com/blog/trip-report-manta-ray-expedition-from-19th-to-27th-of-march,Trip report Manta Ray expedition from 19th to 27th of March - Diving liveaboard in Thailand and Myanmar,"not the only cool things we saw on this 9 days/ 8 nights cruise: we were able to observe a leopard shark, blacktip reef sharks, a HUGE giant grouper (about 100kg!), octopus, very fishy divesites and beaut",valid,NA,1,Similan Islands,region,Thailand,Similan,zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark
black tip reef shark,2023-03-23,Surin National Park,https://www.thesmilingseahorse.com/blog/trip-report-manta-ray-expedition-from-19th-to-27th-of-march,Trip report Manta Ray expedition from 19th to 27th of March - Diving liveaboard in Thailand and Myanmar,"ings we saw on this 9 days/ 8 nights cruise: we were able to observe a leopard shark, blacktip reef sharks, a HUGE giant grouper (about 100kg!), octopus, very fishy divesites and beautiful coral reefs in wa",valid,NA,5,Surin Islands,region,Thailand,Surin,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
leopard shark,2023-03-28,Phuket,https://www.thesmilingseahorse.com/blog/trip-report-manta-ray-expedition-from-19th-to-27th-of-march,Trip report Manta Ray expedition from 19th to 27th of March - Diving liveaboard in Thailand and Myanmar,"squirelfish, floutemouth, moray eels, Salps and jellyfish in all shapes, and so much more! Leopard Shark near Phuket And on the last dive of the cruise, we met this lovely Leopard shark ! How cool!!! Than",valid,NA,1,Phuket,region,Thailand,Phuket,zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark
oceanic manta ray,2024-04-23,Burma Banks,https://www.thesmilingseahorse.com/blog/trip-report-myanmar-manta-expedition-2024-mergui-archipelago-burma-banks,Myanmar Manta Expedition 2024: Mergui archipelago and the Burma banks - Diving liveaboard in Thailand and Myanmar,"rracudas dominated the blue, while encounters with Nurse Sharks, Grey Reef Sharks, and one majestic Manta Ray added to the thrill of diving in these pristine waters. Peaceful nurse shark on the reef Burma",valid,NA,1,Burma Banks,region,Myanmar,Burma Banks,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2024-04-24,"Tower Rock, Mergui",https://www.thesmilingseahorse.com/blog/trip-report-myanmar-manta-expedition-2024-mergui-archipelago-burma-banks,Myanmar Manta Expedition 2024: Mergui archipelago and the Burma banks - Diving liveaboard in Thailand and Myanmar,"igating the tunnel of Tower Rock was a highlight of our first day, where we encountered a beautiful Eagle Ray amongst tropical reef fish . Venturing further north for the second day of diving, North Twin Islan",valid,NA,1,Tower Rock,site,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
blotched fantail ray,2024-04-26,"Western Rocky, Mergui",https://www.thesmilingseahorse.com/blog/trip-report-myanmar-manta-expedition-2024-mergui-archipelago-burma-banks,Myanmar Manta Expedition 2024: Mergui archipelago and the Burma banks - Diving liveaboard in Thailand and Myanmar,"ored Seafan Forest and Western Rocky , encountering Seahorses, Barracudas, and a magnificent Marble Ray. Jamie's insightful presentations about the Mobulae family and ocean conservation inspired us to re",valid,NA,1,Western Rocky,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
bull shark,2024-04-25,Black Rock,https://www.thesmilingseahorse.com/blog/trip-report-myanmar-manta-expedition-2024-mergui-archipelago-burma-banks,Myanmar Manta Expedition 2024: Mergui archipelago and the Burma banks - Diving liveaboard in Thailand and Myanmar,"is time, the dive site offered breathtaking crowds of Trevally, Rainbow Runner, and a majestic Bull Shark coming up from the depths!!! Exciting!!!! Giant trevallies Bluestripe Snappers A jackfish wave... A",valid,NA,1,Black Rock,site,Myanmar,Mergui,bull shark,Carcharhinus,leucas,Carcharhinus leucas,shark
nurse shark,2024-04-25,Burma Banks,https://www.thesmilingseahorse.com/blog/trip-report-myanmar-manta-expedition-2024-mergui-archipelago-burma-banks,Myanmar Manta Expedition 2024: Mergui archipelago and the Burma banks - Diving liveaboard in Thailand and Myanmar,"rs old. Giant Trevally, Surgeonfish, and Barracudas dominated the blue, while encounters with Nurse Sharks, Grey Reef Sharks, and one majestic Manta Ray added to the thrill of diving in these pristine water",valid,NA,10,Burma Banks,region,Myanmar,Burma Banks,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
grey reef shark,2024-04-25,Burma Banks,https://www.thesmilingseahorse.com/blog/trip-report-myanmar-manta-expedition-2024-mergui-archipelago-burma-banks,Myanmar Manta Expedition 2024: Mergui archipelago and the Burma banks - Diving liveaboard in Thailand and Myanmar,"ally, Surgeonfish, and Barracudas dominated the blue, while encounters with Nurse Sharks, Grey Reef Sharks, and one majestic Manta Ray added to the thrill of diving in these pristine waters. Peaceful nurse",valid,NA,5,Burma Banks,region,Myanmar,Burma Banks,grey reef shark,Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,shark
oceanic manta ray,2023-12-23,Hin Muang,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","Dang, where the ocean gifted us an experience beyond compare - swimming alongside majestic Oceanic Manta Rays . Encounter after encounter, we were blessed to witness at least four of these magnificent cre",valid,NA,4,Hin Muang,site,Thailand,Koh Lanta,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2023-12-20,Richelieu Rock,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar",", the cherry on top was undoubtedly the sunset encounter with the Jenkins stingray and the stunning Eagle ray. The sheer magnificence of these creatures against the backdrop of the setting sun was a moment fro",valid,NA,1,Richelieu Rock,site,Thailand,Surin,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
jenkins stingray,2023-12-20,Richelieu Rock,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","te-eye moray eels. However, the cherry on top was undoubtedly the sunset encounter with the Jenkins stingray and the stunning Eagle ray. The sheer magnificence of these creatures against the backdrop of the s",valid,NA,1,Richelieu Rock,site,Thailand,Surin,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
blotched fantail ray,2023-12-21,"west ridge, Koh Bon",https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","ring further, the West Ridge unfolded a mesmerizing encounter with an octopus and a colossal marble ray, its sheer size and grace mesmerizing as it effortlessly navigated the currents. Each sighting adde",valid,NA,1,West Ridge,site,Thailand,Similan,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
guitar shark,2023-12-21,"North Ridge, Ko Bon",https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","ontinued to unveil its mysteries. The North Ridge treated us to the elegant spectacle of two guitar sharks gliding effortlessly through the waters, a sight that never fails to captivate. Venturing further,",valid,NA,2,North Ridge,site,Thailand,Similan,guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray
white-tip reef shark,2023-12-22,"Elephant Head, Similan",https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","lephant Head, we were treated to sightings that delighted our senses. The presence of two white-tip sharks, a majestic leopard shark, and the grandeur of a big nurse shark gracing us with their presence was",valid,NA,2,Elephant Head Rock,site,Thailand,Similan,whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark
leopard shark,2023-12-22,"Elephant Head, Similan",https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","ed to sightings that delighted our senses. The presence of two white-tip sharks, a majestic leopard shark, and the grandeur of a big nurse shark gracing us with their presence was awe-inspiring. The underw",valid,NA,1,Elephant Head Rock,site,Thailand,Similan,zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark
nurse shark,2023-12-22,"3 Trees, Similan",https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","es. The presence of two white-tip sharks, a majestic leopard shark, and the grandeur of a big nurse shark gracing us with their presence was awe-inspiring. The underwater landscape at West of Eden welcomed",valid,NA,1,Three Trees,site,Thailand,Similan,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
leopard shark,2023-12-27,Shark Point,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","re unveiled its wonders yet again. Our dives were graced by the majestic presence of both a leopard shark and a guitar shark , their serene movements adding a touch of awe to the underwater landscape. The",valid,NA,1,Shark Point,site,Thailand,Phuket,zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark
guitar shark,2023-12-27,Shark Point,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","ders yet again. Our dives were graced by the majestic presence of both a leopard shark and a guitar shark , their serene movements adding a touch of awe to the underwater landscape. The surroundings, adorn",valid,NA,1,Shark Point,site,Thailand,Phuket,guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray
zebra shark,NA,Andaman Sea,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-christmas-cruise,"Trip report: North and South Andaman, Christmas 2023 - Diving liveaboard in Thailand and Myanmar","ater adventures with you. Looking forward to more!!! A shy tigertail seahorse, is it smiling? Zebra shark SAY CHEESE!!!! Subscribe for monthly email Schedule and Prices More about diving in Burma Camille F",valid,NA,1,Andaman Sea,region,Thailand,Andaman (unspecified),zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark
giant oceanic manta ray,2024-03-30,Hin Muang Hin Daeng,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-cruise-from-the-29th-march-2024,Trip report: North and South Andaman cruise from the 29th March 2024 - Diving liveaboard in Thailand and Myanmar,"cean's embrace at Hin Muang Hin Daeng, we were met by the real VIPs of the sea – four giant oceanic mantas, gliding gracefully through the water. It was a mesmerizing sight to behold, like something straigh",valid,NA,4,"Hin Muang, Hin Daeng",site,Thailand,Koh Lanta,oceanic manta,Mobula,birostris,Mobula birostris,ray
oceanic manta ray,2024-04-01,Hin Muang Hin Daeng,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-cruise-from-the-29th-march-2024,Trip report: North and South Andaman cruise from the 29th March 2024 - Diving liveaboard in Thailand and Myanmar,tars of the show? ​ You guessed it – back to Hin Daeng Hin Muang for another round with our beloved manta friends. Two dives in manta soup? Sign us up any day! Cathedral in Koh Ha and the Similan Islands g,valid,NA,2,"Hin Muang, Hin Daeng",site,Thailand,Koh Lanta,oceanic manta,Mobula,birostris,Mobula birostris,ray
blotched fantail ray,2024-04-02,Koh Ha,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-cruise-from-the-29th-march-2024,Trip report: North and South Andaman cruise from the 29th March 2024 - Diving liveaboard in Thailand and Myanmar,"milan Islands greeted us with open arms, offering up close encounters with everything from majestic rays to curious white-tip sharks. And that bull shark sighting at Koh Bon Pinnacle? Talk about a once-in",valid,NA,4,Koh Haa,site,Thailand,Koh Lanta,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
coral catshark,2024-04-01,Tarutao National Park,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-cruise-from-the-29th-march-2024,Trip report: North and South Andaman cruise from the 29th March 2024 - Diving liveaboard in Thailand and Myanmar,"e and Steps dive sites treated us to a parade of unique sightings, from Indian Walkman to coral cat sharks peeking out from their hiding spots. And let's not forget about the breathtaking soft coral-covered",valid,NA,5,Tarutao National Park,site,Thailand,Koh Lipe,coral catshark,Atelomycterus,marmoratus,Atelomycterus marmoratus,shark
white-tip reef shark,2024-04-01,Similan Islands,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-cruise-from-the-29th-march-2024,Trip report: North and South Andaman cruise from the 29th March 2024 - Diving liveaboard in Thailand and Myanmar,"ith open arms, offering up close encounters with everything from majestic rays to curious white-tip sharks. And that bull shark sighting at Koh Bon Pinnacle? Talk about a once-in-a-lifetime moment! Ghost pi",valid,NA,5,Similan Islands,region,Thailand,Similan,whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark
bull shark,2024-04-01,Koh Bon Pinnacle,https://www.thesmilingseahorse.com/blog/trip-report-north-and-south-andaman-cruise-from-the-29th-march-2024,Trip report: North and South Andaman cruise from the 29th March 2024 - Diving liveaboard in Thailand and Myanmar,g up close encounters with everything from majestic rays to curious white-tip sharks. And that bull shark sighting at Koh Bon Pinnacle? Talk about a once-in-a-lifetime moment! Ghost pipefish Marvelous spot,valid,NA,1,Koh Bon,site,Thailand,Similan,bull shark,Carcharhinus,leucas,Carcharhinus leucas,shark
black-tip reef shark,2023-02-16,Similan National park,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-14th-to-18th-february-2023,Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,"National Park to dive on the incredible dive sites of Tachai Pinnacle and Koh Bon . Black tip reef sharks, three matings octopus , huge school of barracuda, pregnant lobsters and school of batfish. Thank y",valid,NA,5,Similan Islands,region,Thailand,Similan,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
manta ray,2024-01-11,South Similan,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-6th-to-12th-january-2024,Trip report: North Andaman 6th to 12th  January 2024 - Diving liveaboard in Thailand and Myanmar,"before us. Amongst the vibrant coral reefs, we are delighted to spot ethereal creatures - beautiful manta rays gracefully soaring through the depths. Mesmerized by their elegance, we find ourselves immerse",valid,not sure oceanic/reef,3,Similan Islands,region,Thailand,Similan,reef manta,Mobula,alfredii,Mobula alfredii,ray
blotched fantail ray,2024-01-06,Surin National Park,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-6th-to-12th-january-2024,Trip report: North Andaman 6th to 12th  January 2024 - Diving liveaboard in Thailand and Myanmar,"stal-clear waters, ready to be captivated by the wonders beneath. To our delight, a graceful marble ray glides gracefully past us, a reminder of the grace and beauty of marine life. As we dive deeper, we",valid,NA,1,Surin Islands,region,Thailand,Surin,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
blotched fantail ray,2024-01-10,Koh Bon,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-6th-to-12th-january-2024,Trip report: North Andaman 6th to 12th  January 2024 - Diving liveaboard in Thailand and Myanmar,"rwater pinnacles, colorful coral formations, and various marine species. Koh Bon is known for manta rays encounters but this week it was on fire with massive blotched sting rays and (7!!!) Bull sharks!!!",valid,NA,5,Koh Bon,site,Thailand,Similan,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
blotched fantail ray,2024-01-12,Rocky Point,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-6th-to-12th-january-2024,Trip report: North Andaman 6th to 12th  January 2024 - Diving liveaboard in Thailand and Myanmar,s us. A wave of happiness washes over us as we encounter magnificent bull sharks and playful marble rays. A grand spectacle unfolds as a shimmering school of chevron barracuda creates a mesmerizing dance,valid,NA,5,Rocky Point,site,Thailand,Similan,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
bull shark,2024-01-10,Koh Bon,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-6th-to-12th-january-2024,Trip report: North Andaman 6th to 12th  January 2024 - Diving liveaboard in Thailand and Myanmar,"manta rays encounters but this week it was on fire with massive blotched sting rays and (7!!!) Bull sharks!!! Spotted marble ray Koh Tachai, offers a combination of shallow and deep dive sites. The island i",valid,NA,7,Koh Bon,site,Thailand,Similan,bull shark,Carcharhinus,leucas,Carcharhinus leucas,shark
bull shark,2024-01-12,West of Eden,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-6th-to-12th-january-2024,Trip report: North Andaman 6th to 12th  January 2024 - Diving liveaboard in Thailand and Myanmar,"reef, pure bliss surrounds us. A wave of happiness washes over us as we encounter magnificent bull sharks and playful marble rays. A grand spectacle unfolds as a shimmering school of chevron barracuda crea",valid,NA,1,West of Eden,site,Thailand,Similan,bull shark,Carcharhinus,leucas,Carcharhinus leucas,shark
bluespotted maskray,2023-02-21,North point,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-20th-to-25th-february-2023,Trip report North Andaman from 20th to 25th February 2023 - Diving liveaboard in Thailand and Myanmar,"Three Trees, North Point and Christmas Point. 4 white tip reef sharks, turtle, lots of bluespotted stingray, school of barracuda and some garden eel... Do you know garden eels? They are strange tropical fish",valid,NA,10,North Point,site,Thailand,Koh Lipe,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
white-tip reef shark,2023-02-20,Christmas Point,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-20th-to-25th-february-2023,Trip report North Andaman from 20th to 25th February 2023 - Diving liveaboard in Thailand and Myanmar,"e island number 9 with its beautiful Three Trees, North Point and Christmas Point. 4 white tip reef sharks, turtle, lots of bluespotted stingray, school of barracuda and some garden eel... Do you know garde",valid,NA,4,Christmas Point,site,Thailand,Similan,whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark
bluespotted maskray,2023-04-02,Boonsung wreck,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-29th-of-march-to-2nd-of-april-2023,Trip report : North Andaman from 29th of March to 2nd of April 2023 - Diving liveaboard in Thailand and Myanmar,"k for the two final dives, and it was a fantastic way to end the trip. We saw bamboo sharks, Kuhl's Stingrays, Cuttlefish, Nudibranchs, Octopuses, Crabs, Shrimps with their partner gobies digging the sand, and",valid,NA,5,Boonsung Wreck,site,Thailand,Khao Lak,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
white tip reef shark,2023-03-31,Shark Fin Reef,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-29th-of-march-to-2nd-of-april-2023,Trip report : North Andaman from 29th of March to 2nd of April 2023 - Diving liveaboard in Thailand and Myanmar,"apoleon Wrasse, Humphead Parrotfish, massive box fish, Hawksbill turtles, and even a white tip reef shark to get us started. What a way to begin the trip! Baby octopus on blackwater dive On the second day",valid,NA,1,Shark Fin Reef,site,Thailand,Similan,whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark
white tip reef shark,2023-03-31,Richelieu Rock,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-29th-of-march-to-2nd-of-april-2023,Trip report : North Andaman from 29th of March to 2nd of April 2023 - Diving liveaboard in Thailand and Myanmar,"Park, exploring Koh Bon in the morning and Tachai Pinnacle in the afternoon. ​We saw white tip reef sharks, huge Jenkin's Whiprays, Barracudas, Ornate Ghost Pipe Fish, commensal shrimp carrying their eggs,",valid,NA,5,Richelieu Rock,site,Thailand,Surin,whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark
bamboo shark,2023-04-02,Richelieu Rock,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-29th-of-march-to-2nd-of-april-2023,Trip report : North Andaman from 29th of March to 2nd of April 2023 - Diving liveaboard in Thailand and Myanmar,"e Boonsung Wreck for the two final dives, and it was a fantastic way to end the trip. We saw bamboo sharks, Kuhl's Stingrays, Cuttlefish, Nudibranchs, Octopuses, Crabs, Shrimps with their partner gobies dig",valid,NA,2,Richelieu Rock,site,Thailand,Surin,brown banded bamboo shark,Chiloscyllium,punctatum,Chiloscyllium punctatum,shark
blotched fantail ray,2023-03-05,Yellow Rock,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-4th-to-10th-of-march-2023,North andaman- Surin and Similan March 2023 - Diving liveaboard in Thailand and Myanmar,"Juvenile shaded batfish greeted us at Yellow Rock, such a graceful angel of the sea. A big blotched stingray was also sleeping under a rock on the same divesite and Pikachu nudibranch were in their usual loca",valid,NA,1,Yellow Rock,site,Thailand,Similan,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
black tip reef shark,2023-03-05,Tachai Pinnacle,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-4th-to-10th-of-march-2023,North andaman- Surin and Similan March 2023 - Diving liveaboard in Thailand and Myanmar,"with excellent conditions that allowed us to witness an immense school of barracuda, black tip reef sharks, and various species of trevallies hunting above the pinnacle. It was truly a remarkable adventure",valid,NA,5,Koh Tachai,site,Thailand,Similan,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
oceanic manta ray,2023-04-05,Koh Bon,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-4th-to-8th-april-2023,Trip report North Andaman from 4th to 8th April 2023 - Diving liveaboard in Thailand and Myanmar,"Bon, and boy, were we in for a treat! The cruise always begin by a little ceremony We met 2 oceanic manta rays about 4 meters wide and big blotched fantail ray about 1,5 meters large! Koh Tachai , also kno",valid,4 meters wide,2,Koh Bon,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
bluespotted maskray,2023-04-06,Racha Noi,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-4th-to-8th-april-2023,Trip report North Andaman from 4th to 8th April 2023 - Diving liveaboard in Thailand and Myanmar,"Racha Noi next one our way back to Phuket and what a dream come true. We saw everything from Kuhl's stingray, big schools of barracuda, nudibranch, and even wipe coral shrimp. The Similan Islands have been ma",valid,NA,5,Racha Noi,site,Thailand,Phuket,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
blotched fantail ray,2023-04-05,Koh Bon,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-from-4th-to-8th-april-2023,Trip report North Andaman from 4th to 8th April 2023 - Diving liveaboard in Thailand and Myanmar,"nd boy, were we in for a treat! The cruise always begin by a little ceremony We met 2 oceanic manta rays about 4 meters wide and big blotched fantail ray about 1,5 meters large! Koh Tachai , also known as",valid,1.5 meters wide,1,Koh Bon,site,Thailand,Similan,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
eagle ray,2023-02-28,Richelieu Rock,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-trip-from-27th-february-to-2nd-of-march-2023,Trip report North Andaman trip from 27th february to 2nd of march 2023 - Diving liveaboard in Thailand and Myanmar,"ons of bluespotted stingray cruising over the garden eels, and the amazing special appearance of an eagle ray at night on Richelieu Rock . The Similans also didn't disappoint with Hawksbill turtles , banded se",valid,NA,1,Richelieu Rock,site,Thailand,Surin,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
bluespotted maskray,2023-02-29,Richelieu Rock,https://www.thesmilingseahorse.com/blog/trip-report-north-andaman-trip-from-27th-february-to-2nd-of-march-2023,Trip report North Andaman trip from 27th february to 2nd of march 2023 - Diving liveaboard in Thailand and Myanmar,"e sand, nudibranch all over the place, harlequin shrimps eating their seastars, tons of bluespotted stingray cruising over the garden eels, and the amazing special appearance of an eagle ray at night on Riche",valid,NA,10,Richelieu Rock,site,Thailand,Surin,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
